#{"t_start": 1748687170.759244, "env_id": "None"}
r,l,t,score,lives,rings
5883.0,20655,165.924313,80,0,24
9666.0,18445,305.194901,40,0,4
3752.0,27369,513.104729,0,0,15
4568.0,27285,729.818846,10,0,15
9518.0,27372,936.42383,40,0,15
4220.0,27372,1141.38967,0,0,10
5395.0,27372,1344.621373,30,0,11
6520.0,24013,1523.847921,10,0,9
3383.0,21752,1685.772786,10,0,0
3665.0,19278,1831.091012,0,0,0
4057.0,27372,2047.963088,0,0,15
5170.0,27372,2252.770766,0,0,15
5170.0,27372,2464.374313,0,0,15
2320.0,19631,2617.211514,0,0,27
783.0,27144,2827.720562,40,0,25
2074.0,15726,2948.977687,10,0,0
7608.0,22078,3116.374626,20,0,15
7308.0,23801,3296.16072,10,0,0
7363.0,19073,3439.160125,30,0,0
5753.0,10298,3515.605333,0,0,0
2378.0,20926,3674.194401,40,0,0
1385.0,13896,3780.763954,0,0,13
12395.0,27261,3991.466613,40,0,12
15308.0,27330,4223.700104,60,0,2
15086.0,27333,4452.598044,30,0,10
13617.0,27253,4682.601015,40,0,26
11332.0,18472,4846.012985,70,0,7
9175.0,27147,5070.390241,50,0,6
11460.0,19022,5220.419839,20,0,0
8680.0,27263,5461.303134,40,0,25
15184.0,27252,5691.596123,80,0,6
9280.0,19495,5845.407727,0,0,14
13790.0,27254,6063.376312,30,0,11
15267.0,27256,6276.305936,20,0,9
9414.0,18554,6418.927132,20,0,7
13130.0,27139,6632.511388,30,0,3
15763.0,27372,6850.27699,0,0,26
15135.0,27372,7071.665041,70,0,10
17399.0,27372,7284.354983,100,0,5
5764.0,10553,7388.786465,50,0,0
16910.0,27372,7639.560722,80,0,18
11610.0,19545,7813.159773,10,0,0
